file,year,source,records,EXACT_INTRADAY_USABLE,DATE_ONLY_CONSERVATIVE,AMBIGUOUS,INVALID,classifiable_fraction
all,2017,Seeking Alpha,20,0,20,0,0,1.0
all,2017,Shanthi Rexaline,13,0,13,0,0,1.0
all,2017,Spencer Israel,3,0,3,0,0,1.0
all,2017,Spencer White,2,0,2,0,0,1.0
all,2017,Taylor Cox,1,0,1,0,0,1.0
all,2017,The Ticker Tape,2,0,2,0,0,1.0
all,2017,Vetr,2,0,2,0,0,1.0
all,2017,Wayne Duggan,14,0,14,0,0,1.0
all,2017,Zacks,20,0,20,0,0,1.0
all,2017,lenta.ru,20,0,20,0,0,1.0
all,2017,vivek.proactive@gmail.com,4,0,4,0,0,1.0
all,2017,Автобизнес,4,0,4,0,0,1.0
all,2017,Бизнес,9,0,9,0,0,1.0
all,2017,Бокс и ММА,5,0,5,0,0,1.0
all,2017,Вещи,2,0,2,0,0,1.0
all,2017,Вирусные ролики,2,0,2,0,0,1.0
all,2017,Внешний вид,5,0,5,0,0,1.0
all,2017,Все,10,0,10,0,0,1.0
all,2017,Гаджеты,4,0,4,0,0,1.0
all,2017,Город,9,0,9,0,0,1.0
all,2017,Госэкономика,20,0,20,0,0,1.0
all,2017,Дача,2,0,2,0,0,1.0
all,2017,Движение,6,0,6,0,0,1.0
all,2017,Деловой климат,12,0,12,0,0,1.0
all,2017,Деньги,1,0,1,0,0,1.0
all,2017,Достижения,9,0,9,0,0,1.0
all,2017,Еда,1,0,1,0,0,1.0
all,2017,Закавказье,2,0,2,0,0,1.0
all,2017,Звери,3,0,3,0,0,1.0
all,2017,Зимние виды,1,0,1,0,0,1.0
all,2017,Игры,4,0,4,0,0,1.0
all,2017,Инструменты,3,0,3,0,0,1.0
all,2017,Интернет,20,0,20,0,0,1.0
all,2017,Искусство,4,0,4,0,0,1.0
all,2017,Квартира,6,0,6,0,0,1.0
all,2017,Кино,20,0,20,0,0,1.0
all,2017,Книги,1,0,1,0,0,1.0
all,2017,Конфликты,5,0,5,0,0,1.0
all,2017,Космос,9,0,9,0,0,1.0
all,2017,Криминал,9,0,9,0,0,1.0
all,2017,Летние виды,4,0,4,0,0,1.0
all,2017,Люди,5,0,5,0,0,1.0
all,2017,Мир,16,0,16,0,0,1.0
all,2017,Мировой бизнес,4,0,4,0,0,1.0
all,2017,Мнения,3,0,3,0,0,1.0
all,2017,Молдавия,2,0,2,0,0,1.0
all,2017,Москва,8,0,8,0,0,1.0
all,2017,Музыка,12,0,12,0,0,1.0
all,2017,Наука,16,0,16,0,0,1.0
all,2017,Общество,20,0,20,0,0,1.0
all,2017,Офис,1,0,1,0,0,1.0
all,2017,Политика,20,0,20,0,0,1.0
all,2017,Полиция и спецслужбы,6,0,6,0,0,1.0
all,2017,Пресса,4,0,4,0,0,1.0
all,2017,Преступность,11,0,11,0,0,1.0
all,2017,Прибалтика,8,0,8,0,0,1.0
all,2017,Происшествия,20,0,20,0,0,1.0
all,2017,Регионы,5,0,5,0,0,1.0
all,2017,Россия,7,0,7,0,0,1.0
all,2017,Рынки,3,0,3,0,0,1.0
all,2017,Следствие и суд,20,0,20,0,0,1.0
all,2017,События,7,0,7,0,0,1.0
all,2017,Софт,1,0,1,0,0,1.0
all,2017,Стиль,9,0,9,0,0,1.0
all,2017,ТВ и радио,7,0,7,0,0,1.0
all,2017,Театр,20,0,20,0,0,1.0
all,2017,Туризм,1,0,1,0,0,1.0
all,2017,Украина,20,0,20,0,0,1.0
all,2017,Футбол,20,0,20,0,0,1.0
all,2017,Хоккей,8,0,8,0,0,1.0
all,2017,Часы,3,0,3,0,0,1.0
all,2017,Явления,14,0,14,0,0,1.0
all,2018,Andy Pai,1,0,1,0,0,1.0
all,2018,Benzinga Newdesk,17,0,17,0,0,1.0
all,2018,Benzinga Newsdesk,20,1,19,0,0,1.0
all,2018,Benzinga  Newsdesk,1,0,1,0,0,1.0
all,2018,Benzinga_Newsdesk,20,0,20,0,0,1.0
all,2018,Bill Haddad,2,0,2,0,0,1.0
all,2018,Brad Hammond,8,1,7,0,0,1.0
all,2018,Brett Hershman,8,0,8,0,0,1.0
all,2018,Charles Gross,20,0,20,0,0,1.0
all,2018,Chris Dier-Scalise,1,0,1,0,0,1.0
all,2018,Craig Jones,2,0,2,0,0,1.0
all,2018,Eddie Staley,20,0,20,0,0,1.0
all,2018,Elizabeth Balboa,2,0,2,0,0,1.0
all,2018,Ezra Schwarzbaum,1,0,1,0,0,1.0
all,2018,FreightWaves,5,0,5,0,0,1.0
all,2018,GuruFocus,20,0,20,0,0,1.0
all,2018,Hal Lindon,20,0,20,0,0,1.0
all,2018,Hannah Genig,2,0,2,0,0,1.0
all,2018,Investor's Business Daily,20,0,20,0,0,1.0
all,2018,JJ Kinahan,1,0,1,0,0,1.0
all,2018,Javier Hasse,1,0,1,0,0,1.0
all,2018,Jayson Derrick,19,0,19,0,0,1.0
all,2018,Lisa Levin,20,0,20,0,0,1.0
all,2018,Matt Hogan - Finbox.io,1,0,1,0,0,1.0
all,2018,Nelson Hem,3,0,3,0,0,1.0
all,2018,Paul Quintaro,20,0,20,0,0,1.0
all,2018,Rich Worthington,1,0,1,0,0,1.0
all,2018,Seeking Alpha,20,0,20,0,0,1.0
all,2018,Shanthi Rexaline,11,2,9,0,0,1.0
all,2018,Spencer Israel,1,0,1,0,0,1.0
all,2018,Steve Miller,1,0,1,0,0,1.0
all,2018,TalkMarkets,5,0,5,0,0,1.0
all,2018,Taylor Cox,7,0,7,0,0,1.0
all,2018,The Ticker Tape,1,0,1,0,0,1.0
all,2018,VantagePoint,1,0,1,0,0,1.0
all,2018,Vick Meyer,20,0,20,0,0,1.0
all,2018,Wayne Duggan,9,0,9,0,0,1.0
all,2018,Zacks,20,0,20,0,0,1.0
all,2018,lbjacobi,1,0,1,0,0,1.0
all,2018,luke@benzinga.com,18,0,18,0,0,1.0
all,2019,Benzinga Newsdesk,20,1,19,0,0,1.0
all,2019,Benzinga  Newsdesk,3,0,3,0,0,1.0
all,2019,Benzinga_Newsdesk,20,0,20,0,0,1.0
all,2019,Brett Hershman,7,0,7,0,0,1.0
all,2019,Charles Gross,15,0,15,0,0,1.0
all,2019,Chris Dier-Scalise,2,0,2,0,0,1.0
all,2019,Craig Jones,1,0,1,0,0,1.0
all,2019,Dave Royse,3,0,3,0,0,1.0
all,2019,Elizabeth Balboa,1,0,1,0,0,1.0
all,2019,FreightWaves,20,0,20,0,0,1.0
all,2019,GuruFocus,20,0,20,0,0,1.0
all,2019,Hal Lindon,8,2,6,0,0,1.0
all,2019,Investor's Business Daily,20,0,20,0,0,1.0
all,2019,JJ Kinahan,1,0,1,0,0,1.0
all,2019,Jayson Derrick,1,0,1,0,0,1.0
all,2019,Joel Elconin,1,0,1,0,0,1.0
all,2019,Lisa Levin,20,2,18,0,0,1.0
all,2019,Nelson Hem,2,0,2,0,0,1.0
all,2019,Priya Nigam,5,0,5,0,0,1.0
all,2019,Seeking Alpha,20,0,20,0,0,1.0
all,2019,Shanthi Rexaline,1,0,1,0,0,1.0
all,2019,Spencer Israel,1,0,1,0,0,1.0
all,2019,TalkMarkets,20,0,20,0,0,1.0
all,2019,Tanzeel Akhtar,4,0,4,0,0,1.0
all,2019,Vick Meyer,20,0,20,0,0,1.0
all,2019,Wayne Duggan,3,0,3,0,0,1.0
all,2019,Zacks,20,0,20,0,0,1.0
all,2019,luke@benzinga.com,9,0,9,0,0,1.0
all,2020,BayStreet,1,0,1,0,0,1.0
all,2020,Benzinga Insights,17,8,9,0,0,1.0
all,2020,Benzinga Newsdesk,20,2,18,0,0,1.0
all,2020,Benzinga Staff,1,0,1,0,0,1.0
all,2020,Benzinga_Newsdesk,20,2,18,0,0,1.0
all,2020,Benzinga Newsdesk,19,17,2,0,0,1.0
all,2020,Charles Gross,20,0,20,0,0,1.0
all,2020,Craig Jones,6,0,6,0,0,1.0
all,2020,Direxion,1,0,1,0,0,1.0
all,2020,ETF Professor,4,0,4,0,0,1.0
all,2020,Elizabeth Balboa,8,0,8,0,0,1.0
all,2020,FreightWaves,13,1,12,0,0,1.0
all,2020,GuruFocus,20,0,20,0,0,1.0
all,2020,Henry Khederian,1,0,1,0,0,1.0
all,2020,Howie Bick,1,0,1,0,0,1.0
all,2020,IAM Newswire,20,0,20,0,0,1.0
all,2020,Investor's Business Daily,20,0,20,0,0,1.0
all,2020,JJ Kinahan,20,0,20,0,0,1.0
all,2020,Jason Shubnell,3,0,3,0,0,1.0
all,2020,Javier Hasse,1,0,1,0,0,1.0
all,2020,Jayson Derrick,8,0,8,0,0,1.0
all,2020,Lisa Levin,20,1,19,0,0,1.0
all,2020,Luis Aureliano,1,0,1,0,0,1.0
all,2020,Luke J Jacobi,3,1,2,0,0,1.0
all,2020,Neer Varshney,20,1,19,0,0,1.0
all,2020,Nelson Hem,9,0,9,0,0,1.0
all,2020,Othanas Economopoulos,1,0,1,0,0,1.0
all,2020,Priya Nigam,2,1,1,0,0,1.0
all,2020,Randy Elias,1,0,1,0,0,1.0
all,2020,Renato Capelj,5,0,5,0,0,1.0
all,2020,Shanthi Rexaline,14,1,13,0,0,1.0
all,2020,Shivdeep Dhaliwal,20,0,20,0,0,1.0
all,2020,Spencer Israel,3,0,3,0,0,1.0
all,2020,TD Ameritrade,3,0,3,0,0,1.0
all,2020,TD Ameritrade Network,1,0,1,0,0,1.0
all,2020,TalkMarkets,20,0,20,0,0,1.0
all,2020,Tanzeel Akhtar,11,2,9,0,0,1.0
all,2020,Tobias Van Gils - Countach Research,1,0,1,0,0,1.0
all,2020,Tyree Gorges,4,0,4,0,0,1.0
all,2020,Vick Meyer,20,3,17,0,0,1.0
all,2020,Wayne Duggan,11,0,11,0,0,1.0
all,2020,Zacks,20,0,20,0,0,1.0
all,2020,luke@benzinga.com,20,0,20,0,0,1.0
all,2020,vishwanath@benzinga.com,20,9,11,0,0,1.0
all,ALL,ALL,5711,232,5479,0,0,1.0
nasdaq,2014,www.nasdaq.com,7,0,7,0,0,1.0
nasdaq,2015,www.nasdaq.com,35,0,35,0,0,1.0
nasdaq,2016,www.nasdaq.com,51,0,51,0,0,1.0
nasdaq,2017,www.nasdaq.com,236,0,236,0,0,1.0
nasdaq,2018,www.nasdaq.com,138,0,138,0,0,1.0
nasdaq,2019,www.nasdaq.com,47,0,47,0,0,1.0
nasdaq,2020,www.nasdaq.com,30,0,30,0,0,1.0
nasdaq,2021,www.nasdaq.com,275,0,275,0,0,1.0
nasdaq,2022,www.nasdaq.com,446,0,446,0,0,1.0
nasdaq,2023,www.nasdaq.com,735,0,735,0,0,1.0
nasdaq,ALL,ALL,2000,0,2000,0,0,1.0
